疫情地区,新增确诊,现有确诊,累计确诊,治愈,死亡
西藏,0,0,1,1,0
澳门,0,0,83,83,0
青海,0,0,147,147,0
台湾,68293,2744541,2762080,13742,3797
香港,130,261106,333247,62751,9390
贵州,0,0,185,183,2
吉林,0,92,40293,40196,5
新疆,0,0,1008,1005,3
宁夏,0,0,122,122,0
内蒙古,19,167,1920,1752,1
甘肃,0,0,681,679,2
天津,0,1,1978,1974,3
山西,0,2,423,421,0
辽宁,3,30,1704,1672,2
黑龙江,0,1,2985,2971,13
海南,0,0,288,282,6
河北,0,0,2005,1998,7
陕西,0,1,3284,3280,3
云南,0,14,2157,2141,2
广西,0,11,1649,1636,2
福建,4,55,3321,3265,1
上海,11,231,63085,62259,595
北京,39,159,3486,3318,9
江苏,0,0,2235,2235,0
四川,1,38,2356,2315,3
山东,0,4,2738,2727,7
江西,0,0,1383,1382,1
重庆,0,4,715,705,6
安徽,0,0,1065,1059,6
湖南,0,0,1393,1389,4
河南,0,5,3183,3156,22
广东,2,32,7329,7289,8
浙江,0,9,3139,3129,1
湖北,0,1,68399,63886,4512
